"LGA","Crude_rate","IRSD","IRSAD","IER","IEO","log_IRSD","log_IER","log_IEO","log_Crude_rate"
"Albury",26.48461,968,950,962,954,5.06890420222023,5.19295685089021,6.86066367144829,3.27656380957185
"Armidale Regional",19.83811,980,976,955,1010,4.99043258677874,5.23110861685459,6.9177056098353,2.98760483522223
"Ballina",34.302968,1015,996,1011,991,4.71849887129509,4.87519732320115,6.89871453432999,3.53523188104058
"Balranald",43.466449,960,934,970,915,5.11799381241676,5.14749447681345,6.81892406527552,3.77198935314319
"Bathurst Regional",34.024521,991,967,999,959,4.91265488573605,4.96284463025991,6.86589107488344,3.52708147055453
"Bayside (NSW)",23.098085,1004,1044,966,1051,4.81218435537242,5.17048399503815,6.95749737087695,3.13974971365842
"Bega Valley",33.442751,986,949,987,946,4.94875989037817,5.04342511691925,6.85224256905188,3.50983505157919
"Bellingen",30.126243,981,960,983,985,4.98360662170834,5.06890420222023,6.89264164117209,3.40539665237038
"Berrigan",32.391943,966,927,974,913,5.08140436498446,5.12396397940326,6.81673588059497,3.47790971903456
"Blacktown",17.861315,987,1006,1020,993,4.9416424226093,4.80402104473326,6.90073066404517,2.88263720095741
"Bland",62.755283,993,958,1001,939,4.89783979995091,4.94875989037817,6.84481547920826,4.13924276570307
"Blayney",40.229577,991,962,1020,942,4.91265488573605,4.80402104473326,6.84800527457636,3.69460247136503
"Blue Mountains",18.598537,1048,1042,1039,1063,4.36944785246702,4.63472898822964,6.96885037834195,2.92308292171164
"Bogan",57.870304,966,948,989,936,5.08140436498446,5.03043792139244,6.84161547647759,4.05820436872557
"Bourke",41.753653,947,954,947,980,5.19295685089021,5.27299955856375,6.88755257166462,3.73178694447521
"Brewarrina",41.420125,818,866,789,917,5.73334127689775,5.8664680569333,6.82110747225646,3.72376687382865
"Broken Hill",23.59312,913,892,919,887,5.36597601502185,5.40717177146012,6.78784498230958,3.16095514410604
"Burwood",14.460818,977,1050,926,1082,5.01063529409626,5.37527840768417,6.98656645940643,2.67144278497846
"Byron",11.475503,1021,1027,1009,1052,4.66343909411207,4.89034912822175,6.95844839329766,2.44021458940857
"Cabonne",18.221436,1023,995,1044,975,4.64439089914137,4.58496747867057,6.88243747099785,2.90259870321569
"Camden",11.944315,1045,1050,1098,1002,4.40671924726425,3.78418963391826,6.90975328164481,2.48025543296347
"Campbelltown (NSW)",19.130503,947,952,981,949,5.19295685089021,5.08140436498446,6.85540879860993,2.95128407688589
"Canada Bay",15.958436,1067,1116,1021,1123,4.0943445622221,4.79579054559674,7.02375895473844,2.76998759223237
"Canterbury-Bankstown",21.955996,917,966,949,996,5.34710753071747,5.26269018890489,6.9037472575846,3.08904026850508
"Carrathool",13.855782,973,953,980,941,5.03695260241363,5.08759633523238,6.84694313958538,2.62870261843996
"Central Coast (NSW)",23.965898,994,978,1005,967,4.89034912822175,4.91998092582813,6.87419849545329,3.17663190322189
"Central Darling",65.600656,827,869,853,929,5.7037824746562,5.66642668811243,6.83410873881384,4.18358569590004
"Cessnock",41.215047,939,908,984,876,5.23644196282995,5.06259503302697,6.77536609093639,3.71880340812606
"Clarence Valley",38.3512,940,910,963,901,5.23110861685459,5.18738580584075,6.80350525760834,3.64678581806688
"Cobar",8.9912718,965,937,977,904,5.08759633523238,5.10594547390058,6.80682936039218,2.19625430677594
"Coffs Harbour",20.715541,972,954,982,953,5.04342511691925,5.07517381523383,6.8596149036542,3.03088419152916
"Coolamon",13.480605,983,951,1006,941,4.969813299576,4.91265488573605,6.84694313958538,2.60125198578266
"Coonamble",38.795747,883,893,922,919,5.4971682252932,5.39362754635236,6.82328612235569,3.65831062721918
"Cootamundra-Gundagai Regional",28.167495,953,926,965,918,5.15905529921453,5.17614973257383,6.82219739062049,3.33816865354663
"Cowra",52.011855,932,908,950,908,5.27299955856375,5.25749537202778,6.81124437860129,3.95147167336699
"Cumberland",19.002145,904,961,931,995,5.40717177146012,5.35185813347607,6.90274273715859,2.94455186753115
"Dubbo Regional",22.352817,985,958,988,944,4.95582705760126,5.03695260241363,6.8501261661455,3.10695235338563
"Dungog",15.0015,1009,974,1040,945,4.77068462446567,4.62497281328427,6.85118492749374,2.70815019610254
"Edward River",59.4038,966,939,971,935,5.08140436498446,5.14166355650266,6.84054652928869,4.08435819738638
"Eurobodalla",48.51911,985,946,983,941,4.95582705760126,5.06890420222023,6.84694313958538,3.88195774095625
"Fairfield",28.494061,814,885,937,919,5.74620319054015,5.32300997913841,6.82328612235569,3.34969567959432
"Federation",31.061337,969,925,976,897,5.06259503302697,5.11198778835654,6.7990558620588,3.43596386251207
"Forbes",37.070656,969,941,977,938,5.06259503302697,5.10594547390058,6.84374994900622,3.6128257132564
"Georges River",19.841595,1011,1048,999,1060,4.75359019110636,4.96284463025991,6.96602418710611,2.98778049177053
"Gilgandra",40.685322,930,913,955,923,5.28320372873799,5.23110861685459,6.82762923450285,3.70586738858209
"Glen Innes Severn",73.913141,906,891,929,907,5.39816270151775,5.36129216570943,6.81014245011514,4.30289063352605
"Goulburn Mulwaree",24.66961,972,945,985,926,5.04342511691925,5.05624580534831,6.83087423464618,3.2055721217418
"Greater Hume Shire",16.479585,999,964,1018,956,4.85203026391962,4.82028156560504,6.8627579130514,2.80212234212542
"Griffith",41.834023,974,950,985,920,5.03043792139244,5.05624580534831,6.82437367004309,3.73370995582361
"Gunnedah",37.866302,967,940,989,909,5.07517381523383,5.03043792139244,6.81234509417748,3.63406158729088
"Gwydir",74.526487,957,936,978,947,5.13579843705026,5.0998664278242,6.85329909318608,4.31115459240097
"Hawkesbury",21.440888,1026,1008,1056,969,4.61512051684126,4.45434729625351,6.87626461189077,3.06529975325535
"Hay",27.192386,956,926,950,903,5.14166355650266,5.25749537202778,6.80572255341699,3.30293700764464
"Hilltops",26.450511,954,929,974,927,5.15329159449778,5.12396397940326,6.83195356556585,3.27527547758839
"Hornsby",18.176,1082,1116,1082,1121,3.80666248977032,4.0943445622221,7.02197642307216,2.90010204253874
"Hunters Hill",26.847194,1101,1156,1088,1163,3.25809653802148,3.98898404656427,7.05875815251866,3.290161308976
"Inner West",17.98929,1057,1118,993,1141,4.24849524204936,5.00394630594546,7.03966034986208,2.88977658081342
"Inverell",38.933644,928,906,950,899,5.29330482472449,5.25749537202778,6.80128303447162,3.66185876114624
"Junee",21.838704,934,918,977,904,5.26269018890489,5.10594547390058,6.80682936039218,3.08368380845664
"Kempsey",37.601448,903,881,943,882,5.41164605185504,5.29330482472449,6.78219205600679,3.62704256029263
"Kiama",17.705952,1070,1061,1062,1058,4.04305126783455,4.38202663467388,6.96413561241824,2.87390085423974
"Ku-ring-gai",10.524315,1108,1165,1117,1174,2.94443897916644,3.2188758248682,7.06817200038804,2.35368829431505
"Kyogle",19.288986,921,906,950,929,5.32787616878958,5.25749537202778,6.83410873881384,2.95953425943957
"Lachlan",63.257998,950,936,957,944,5.17614973257383,5.22035582507832,6.8501261661455,4.14722157020631
"Lake Macquarie",25.105087,1004,981,1011,963,4.81218435537242,4.87519732320115,6.87005341179813,3.22307049492579
"Lane Cove",9.1023716,1105,1162,1058,1180,3.09104245335832,4.43081679884331,7.07326971745971,2.20853499495313
"Leeton",27.855159,949,922,979,896,5.18178355029209,5.09375020080676,6.79794041297493,3.32701819158788
"Lismore",28.441091,966,945,970,959,5.08140436498446,5.14749447681345,6.86589107488344,3.34783496566199
"Lithgow",31.198297,935,912,960,889,5.25749537202778,5.2040066870768,6.7900972355139,3.44036350999238
"Liverpool",18.994325,931,968,999,976,5.27811465923052,4.96284463025991,6.88346258641309,2.9441402503409
"Liverpool Plains",20.676645,926,905,951,896,5.30330490805908,5.25227342804663,6.79794041297493,3.02900480243631
"Lockhart",13.249288,976,950,1002,961,5.01727983681492,4.9416424226093,6.86797440897029,2.58394381513935
"Maitland",22.53829,988,963,1015,934,4.93447393313069,4.84418708645859,6.83947643822884,3.11521564060507
"Mid-Coast",40.796006,943,912,963,905,5.21493575760899,5.18738580584075,6.80793494369993,3.7085841844615
"Mid-Western Regional",29.073207,979,949,1002,919,4.99721227376411,4.9416424226093,6.82328612235569,3.36981702840343
"Moree Plains",30.01654,940,932,946,927,5.23110861685459,5.27811465923052,6.83195356556585,3.40174856306711
"Murray River",31.369264,998,965,1007,940,4.85981240436167,4.90527477843843,6.84587987526405,3.44582856002107
"Murrumbidgee",19.952125,983,951,988,937,4.969813299576,5.03695260241363,6.84268328223842,2.99333565395414
"Muswellbrook",24.239486,937,908,972,862,5.24702407216049,5.13579843705026,6.75925527066369,3.18798295635583
"Nambucca Valley",35.835899,920,898,946,906,5.33271879326537,5.27811465923052,6.80903930604298,3.57895015633645
"Narrabri",31.50131,964,936,975,912,5.09375020080676,5.11799381241676,6.81563999007433,3.45002913226845
"Narrandera",75.697049,929,910,950,907,5.28826703069454,5.25749537202778,6.81014245011514,4.3267391768566
"Narromine",36.157647,958,934,980,929,5.12989871492307,5.08759633523238,6.83410873881384,3.58788846150405
"Newcastle",28.580157,1012,1012,976,1023,4.74493212836325,5.11198778835654,6.93049476595163,3.35271266583863
"North Sydney",7.3833948,1096,1164,985,1193,3.43398720448515,5.05624580534831,7.08422642209792,1.99923353284482
"Northern Beaches",11.600789,1089,1125,1087,1109,3.63758615972639,4.00733318523247,7.01121398735037,2.45107311304063
"Oberon",42.474403,978,948,1007,928,5.00394630594546,4.90527477843843,6.8330317327862,3.74890161213256
"Orange",29.630377,997,979,994,972,4.86753445045558,4.99721227376411,6.87935580446044,3.38880008509548
"Parkes",54.344475,946,922,959,914,5.19849703126583,5.20948615284142,6.81783057145415,3.99534295246614
"Parramatta",12.96178,1029,1070,983,1097,4.58496747867057,5.06890420222023,7.00033446027523,2.56200502717209
"Penrith",16.902733,991,981,1015,949,4.91265488573605,4.84418708645859,6.85540879860993,2.82747532483074
"Port Macquarie-Hastings",23.573513,985,958,991,954,4.95582705760126,5.01727983681492,6.86066367144829,3.16012375123857
"Port Stephens",27.419102,982,952,1004,928,4.97673374242057,4.92725368515721,6.8330317327862,3.31123992378023
"Queanbeyan-Palerang Regional",13.547859,1061,1062,1061,1046,4.18965474202643,4.39444915467244,6.95272864462487,2.60622852746115
"Randwick",14.877952,1059,1113,995,1122,4.21950770517611,4.99043258677874,7.02286808608264,2.69988038552386
"Richmond Valley",45.212587,924,892,961,871,5.31320597904179,5.19849703126583,6.7696419768525,3.81137552152298
"Ryde",15.842728,1055,1099,1007,1120,4.27666611901606,4.90527477843843,7.02108396428914,2.76271059377996
"Shellharbour",23.372233,983,962,1014,928,4.969813299576,4.85203026391962,6.8330317327862,3.15154869383641
"Shoalhaven",36.910044,980,949,992,939,4.99043258677874,5.01063529409626,6.84481547920826,3.60848370913006
"Singleton",15.918835,998,965,1032,906,4.85981240436167,4.70048036579242,6.80903930604298,2.76750299934661
"Snowy Monaro Regional",23.797717,1020,991,1006,973,4.67282883446191,4.91265488573605,6.880384082186,3.16958965170664
"Strathfield",11.576624,1011,1066,961,1098,4.75359019110636,5.19849703126583,7.00124562206948,2.44898789250665
"Sutherland Shire",16.477065,1079,1090,1078,1064,3.87120101090789,4.15888308335967,6.96979066990159,2.80196941396039
"Sydney",8.2346761,1031,1126,887,1158,4.56434819146784,5.54126354515843,7.05444965813294,2.10835403073707
"Tamworth Regional",27.762501,961,937,976,923,5.11198778835654,5.11198778835654,6.82762923450285,3.32368622524036
"Temora",14.970337,972,939,980,924,5.04342511691925,5.08759633523238,6.82871207164168,2.7060707098682
"Tenterfield",20.689859,920,903,935,925,5.33271879326537,5.33271879326537,6.82979373751242,3.02964367684781
"The Hills Shire",12.081473,1098,1136,1132,1112,3.36729582998647,2.30258509299405,7.01391547481053,2.49167312215904
"Tweed",27.321265,989,967,995,960,4.92725368515721,4.99043258677874,6.86693328446188,3.30766533670531
"Upper Hunter Shire",26.620954,975,943,999,912,5.02388052084628,4.96284463025991,6.81563999007433,3.28169865004081
"Upper Lachlan Shire",21.792672,1022,995,1038,988,4.65396035015752,4.64439089914137,6.89568269774787,3.08157376649606
"Uralla",43.111585,990,963,1002,977,4.91998092582813,4.9416424226093,6.88448665204278,3.76379175449468
"Wagga Wagga",26.255036,989,971,988,970,4.92725368515721,5.03695260241363,6.87729607149743,3.26785781825628
"Walcha",24.993752,992,970,999,978,4.90527477843843,4.96284463025991,6.88550967003482,3.21862587363299
"Walgett",38.913029,888,896,899,928,5.47646355193151,5.49306144334055,6.8330317327862,3.6613291302786
"Warren",54.889491,962,952,973,955,5.10594547390058,5.12989871492307,6.86171134048073,4.00532190942717
"Warrumbungle Shire",40.945879,927,914,952,929,5.29831736654804,5.24702407216049,6.83410873881384,3.71225117031441
"Waverley",9.4829558,1092,1163,1009,1170,3.55534806148941,4.89034912822175,7.0647590277918,2.24949606091846
"Weddin",60.760375,961,942,978,951,5.11198778835654,5.0998664278242,6.85751406254539,4.10693784953209
"Wentworth",33.020883,974,949,989,941,5.03043792139244,5.03043792139244,6.84694313958538,3.49714017950331
"Willoughby",11.221279,1075,1142,1034,1162,3.95124371858143,4.68213122712422,7.05789793741186,2.41781188646773
"Wingecarribee",28.16263,1045,1031,1055,1020,4.40671924726425,4.46590811865458,6.92755790627832,3.33799592181517
"Wollondilly",12.843415,1041,1020,1093,960,4.45434729625351,3.89182029811063,6.86693328446188,2.55283122863129
"Wollongong",25.725467,1000,1000,993,999,4.84418708645859,5.00394630594546,6.90675477864855,3.24748143510247
"Woollahra",7.9228868,1110,1176,1043,1193,2.83321334405622,4.59511985013459,7.08422642209792,2.06975563436368
"Yass Valley",9.8411419,1065,1062,1094,1047,4.12713438504509,3.87120101090789,6.95368421087054,2.28657175107923
"Unincorporated NSW",37.634541,1046,1025,1034,1000,4.39444915467244,4.68213122712422,6.90775527898214,3.62792227231806
"Alpine",26.020945,1028,989,1006,993,4.59511985013459,4.91265488573605,6.90073066404517,3.25890179064163
"Ararat",32.654996,955,932,964,934,5.14749447681345,5.18178355029209,6.83947643822884,3.48599786086189
"Ballarat",19.209723,986,965,971,978,4.94875989037817,5.14166355650266,6.88550967003482,2.95541655710336
"Banyule",18.881824,1058,1064,1030,1079,4.23410650459726,4.71849887129509,6.98378996525813,2.93819976622038
"Bass Coast",28.431407,993,957,992,962,4.89783979995091,5.01063529409626,6.86901445066571,3.3474944144137
"Baw Baw",24.359814,1003,971,1020,960,4.82028156560504,4.80402104473326,6.86693328446188,3.19293480734457
"Bayside (Vic.)",20.944903,1090,1127,1075,1137,3.61091791264422,4.20469261939097,7.03614849375054,3.04189532321138
"Benalla",40.680036,968,938,973,942,5.06890420222023,5.12989871492307,6.84800527457636,3.70573745613572
"Boroondara",12.428594,1090,1131,1054,1153,3.61091791264422,4.47733681447821,7.05012252026906,2.51999978568958
"Brimbank",22.936441,912,928,961,940,5.37063802812766,5.19849703126583,6.84587987526405,3.13272695581164
"Buloke",48.573557,975,946,966,958,5.02388052084628,5.17048399503815,6.86484777797086,3.88307928818304
"Campaspe",31.319025,965,932,980,921,5.08759633523238,5.08759633523238,6.82546003625531,3.44422574036985
"Cardinia",11.639969,1021,993,1044,975,4.66343909411207,4.58496747867057,6.88243747099785,2.4544447790695
"Casey",13.451716,995,986,1038,978,4.88280192258637,4.64439089914137,6.88550967003482,2.59910668155287
"Central Goldfields",46.272646,898,867,921,871,5.43372200355424,5.39816270151775,6.7696419768525,3.83455098736554
"Colac Otway",25.465248,973,938,984,925,5.03695260241363,5.06259503302697,6.82979373751242,3.2373146991464
"Corangamite",40.982887,985,955,998,948,4.95582705760126,4.969813299576,6.85435450225502,3.71315458932885
"Darebin",24.4269,1018,1044,969,1075,4.69134788222914,5.15329159449778,6.98007594056176,3.19568498405389
"East Gippsland",28.297414,963,931,970,932,5.0998664278242,5.14749447681345,6.83733281468559,3.34277042238209
"Frankston",19.672725,1003,982,1003,981,4.82028156560504,4.93447393313069,6.88857245956536,2.97923315864715
"Gannawarra",62.36369,952,919,964,912,5.16478597392351,5.18178355029209,6.81563999007433,4.13298321498545
"Glen Eira",18.637347,1075,1103,1027,1122,3.95124371858143,4.74493212836325,7.02286808608264,2.92516747080163
"Glenelg",48.11102,952,919,970,911,5.16478597392351,5.14749447681345,6.81454289725996,3.87351125690004
"Golden Plains",8.4213363,1040,997,1076,965,4.46590811865458,4.18965474202643,6.87212810133899,2.13076852112504
"Greater Bendigo",19.190353,985,959,984,964,4.95582705760126,5.06259503302697,6.87109129461055,2.95440770484782
"Greater Dandenong",23.063293,887,918,943,943,5.48063892334199,5.29330482472449,6.84906628263346,3.13824230603345
"Greater Geelong",23.171776,1007,990,997,993,4.78749174278205,4.97673374242057,6.90073066404517,3.14293498634836
"Greater Shepparton",24.704744,944,931,965,941,5.20948615284142,5.17614973257383,6.84694313958538,3.20699528996918
"Hepburn",29.741363,1006,984,1001,1008,4.79579054559674,4.94875989037817,6.91572344863131,3.39253877051309
"Hindmarsh",29.003161,940,923,959,932,5.23110861685459,5.20948615284142,6.83733281468559,3.36740482404641
"Hobsons Bay",21.397205,1021,1034,1003,1043,4.66343909411207,4.93447393313069,6.94985645500077,3.06326030602127
"Horsham",18.798616,990,959,974,955,4.91998092582813,5.12396397940326,6.86171134048073,2.93378325010476
"Hume",13.600518,941,949,1004,958,5.2257466737132,4.92725368515721,6.86484777797086,2.61010788025196
"Indigo",23.683744,1029,996,1031,993,4.58496747867057,4.70953020131233,6.90073066404517,3.16478890562614
"Kingston (Vic.)",20.069301,1044,1048,1026,1051,4.4188406077966,4.75359019110636,6.95749737087695,2.99919133410009
"Knox",14.681273,1042,1029,1041,1021,4.44265125649032,4.61512051684126,6.92853781816467,2.68657273604795
"Latrobe (Vic.)",33.471865,931,907,942,899,5.27811465923052,5.29831736654804,6.80128303447162,3.51070523521253
"Loddon",37.604249,948,925,966,942,5.18738580584075,5.17048399503815,6.84800527457636,3.62711704933038
"Macedon Ranges",13.182221,1063,1047,1077,1039,4.15888308335967,4.17438726989564,6.94601399109923,2.57886902777599
"Manningham",19.682968,1056,1075,1059,1080,4.26267987704132,4.4188406077966,6.98471632011827,2.9797536932611
"Mansfield",16.378313,1028,989,1023,982,4.59511985013459,4.77912349311153,6.88959130835447,2.79595808166795
"Maribyrnong",18.779385,1010,1045,963,1076,4.76217393479776,5.18738580584075,6.98100574072173,2.93275972564007
"Maroondah",15.583727,1041,1035,1030,1042,4.45434729625351,4.71849887129509,6.94889722231331,2.74622722877959
"Melbourne",4.7969224,1017,1086,838,1150,4.70048036579242,5.71702770140622,7.0475172213573,1.56797454561193
"Melton",9.6132596,985,974,1031,962,4.95582705760126,4.70953020131233,6.86901445066571,2.26314335381631
"Mildura",31.509332,940,922,952,923,5.23110861685459,5.24702407216049,6.82762923450285,3.4502837559253
"Mitchell",17.323919,1000,968,1030,945,4.84418708645859,4.71849887129509,6.85118492749374,2.8520881477469
"Moira",33.281414,958,927,975,917,5.12989871492307,5.11799381241676,6.82110747225646,3.50499910303119
"Monash",19.252575,1042,1067,1016,1086,4.44265125649032,4.83628190695148,6.99025650049388,2.95764481802165
"Moonee Valley",20.782274,1041,1060,1006,1069,4.45434729625351,4.91265488573605,6.97447891102505,3.03410041183012
